product_number,name,selling_price,buying_price
E0001,Smartphone A1,699.99,499.99
E0002,Smartphone B2,799.99,599.99
E0003,Laptop C3,1199.99,899.99
E0004,Tablet D4,499.99,349.99
E0005,Smartwatch E5,199.99,149.99
E0006,Headphones F6,89.99,69.99
E0007,Smart TV G7,999.99,749.99
E0008,Camera H8,899.99,699.99
E0009,Speaker I9,129.99,99.99
E0010,Game Console J10,399.99,299.99
E0011,Router K11,149.99,119.99
E0012,Keyboard L12,49.99,39.99
E0013,Mouse M13,29.99,19.99
E0014,Printer N14,199.99,159.99
E0015,External Hard Drive O15,119.99,89.99
E0016,Smart Home Hub P16,249.99,199.99
E0017,Drone Q17,599.99,449.99
E0018,VR Headset R18,399.99,299.99
E0019,Action Camera S19,299.99,229.99
E0020,Electric Toothbrush T20,99.99,79.99
E0021,Air Purifier U21,299.99,229.99
E0022,Electric Kettle V22,59.99,39.99
E0023,Toaster W23,49.99,34.99
E0024,Blender X24,79.99,59.99
E0025,Food Processor Y25,149.99,119.99
E0026,Microwave Z26,199.99,149.99
E0027,Washer AA27,799.99,649.99
E0028,Dryer BB28,899.99,749.99
E0029,Refrigerator CC29,1199.99,999.99
E0030,Air Conditioner DD30,499.99,399.99
E0031,Electric Fan EE31,79.99,59.99
E0032,Heater FF32,99.99,79.99
E0033,Electric Grill GG33,129.99,99.99
E0034,Humidifier HH34,89.99,69.99
E0035,Hair Dryer II35,59.99,44.99
E0036,Electric Shaver JJ36,129.99,99.99
E0037,Portable Charger KK37,49.99,39.99
E0038,Wireless Earbuds LL38,149.99,119.99
E0039,Digital Thermometer MM39,39.99,29.99
E0040,Smart Lightbulb NN40,29.99,19.99
E0041,Smart Doorbell OO41,199.99,149.99
E0042,Security Camera PP42,229.99,179.99
E0043,WiFi Extender QQ43,99.99,79.99
E0044,Smart Lock RR44,249.99,199.99
E0045,Home Theater System SS45,799.99,599.99
E0046,Electric Blanket TT46,129.99,99.99
E0047,Table Lamp UU47,59.99,44.99
E0048,Desk Fan VV48,39.99,29.99
E0049,Portable Air Conditioner WW49,399.99,299.99
E0050,Wireless Speaker XX50,149.99,119.99
